easting,northing,TMI,RTP,Residual_TMI,Regional_TMI,VD1,VD2,HoriG,TotG,AnalyticSignal,TiltG,crs,cell_size_m
532871.9306681117,7611908.325619485,53458.14,19201.04672679994,1.5558135606552241,53456.584186439344,-601.2426634458608,-1.2190245107392392,4.408907436826414,601.2588284692866,601.2588284692866,-1.5634634665688352,EPSG:25835,12.5
532884.4306681117,7611908.325619485,53458.14,17158.200565159925,1.4974268685327843,53456.64257313147,-274.2328849829292,-0.36774588976551936,2.8310485570127226,274.24749778620156,274.24749778620156,-1.5604731739368165,EPSG:25835,12.5
532896.9306681117,7611908.325619485,53458.14,16110.51888852968,1.3777756584750023,53456.762224341524,-193.89311618057184,-0.7729597094758479,3.9148539593429024,193.9326341380834,193.9326341380834,-1.5506082861879058,EPSG:25835,12.5
532909.4306681117,7611908.325619485,53458.14,15249.018479903405,1.1911443666031118,53456.948855633396,-141.61372258787785,-0.9186789152507743,4.93863469984278,141.69981135447892,141.69981135447892,-1.5359364703102676,EPSG:25835,12.5
532921.9306681117,7611908.325619485,53458.14,14668.331730838165,0.9291213537362637,53457.21087864626,-120.10155182095649,-1.394084397614087,7.256731179971595,120.3205838467395,120.3205838467395,-1.5104480675865597,EPSG:25835,12.5
532934.4306681117,7611908.325619485,53458.14,14136.208765396015,0.5807467919657938,53457.55925320803,-102.29413678398846,-1.7828271012894583,9.539867650529803,102.73801387593089,102.73801387593089,-1.4778061082795233,EPSG:25835,12.5
532946.9306681117,7611908.325619485,53458.14,13739.823157979632,0.13274298260512296,53458.007257017394,-95.09990988772115,-2.5841666138166492,13.281784100135848,96.0229069000481,96.0229069000481,-1.4320325170747545,EPSG:25835,12.5
532959.4306681117,7611908.325619485,53458.14,13364.96436155474,-0.43022525436390424,53458.57022525436,-87.17656564683233,-2.7532694855770536,16.738833684912844,88.76903824593144,88.76903824593144,-1.3810944519893682,EPSG:25835,12.5
532971.9306681117,7611908.325619485,53304.05,13107.197502927627,-155.21522254448064,53459.26522254448,-92.87548003792773,-5.211613514874961,21.129266269543788,95.24862563504416,95.24862563504416,-1.34710265820722,EPSG:25835,12.5
532984.4306681117,7611908.325619485,53304.05,12806.525226003938,-156.06069229511195,53460.110692295115,-89.05559819968639,-5.116504993738832,28.85136603059835,93.61250393262404,93.61250393262404,-1.2574960666651673,EPSG:25835,12.5
532996.9306681117,7611908.325619485,53304.05,12570.03672873292,-157.07610789572936,53461.12610789573,-91.16026927811969,-6.403990963528481,32.72714287888503,96.85690773442154,96.85690773442154,-1.2261204066245337,EPSG:25835,12.5
533009.4306681117,7611908.325619485,53304.05,12329.841276365158,-158.28153479447792,53462.33153479448,-93.17409097265946,-7.403063031173422,39.62052883457725,101.24819768130683,101.24819768130683,-1.1687298824304153,EPSG:25835,12.5
533021.9306681117,7611908.325619485,53304.05,12135.479108488102,-159.6972389020375,53463.74723890204,-97.7360815532613,-8.710304163203533,45.404116582953726,107.76769200490561,107.76769200490561,-1.1359018150820142,EPSG:25835,12.5
533034.4306681117,7611908.325619485,53304.05,11936.926126304706,-161.3432702743521,53465.393270274355,-102.47519743477234,-9.989693561014722,52.98024211452499,115.36061781998768,115.36061781998768,-1.0936370437450877,EPSG:25835,12.5
533046.9306681117,7611908.325619485,53304.05,11774.614989330345,-163.23903826778405,53467.28903826779,-109.33635712286154,-11.592428097868261,60.841912508702805,125.12464707888115,125.12464707888115,-1.0630027430227027,EPSG:25835,12.5
533059.4306681117,7611908.325619485,53304.05,11608.045200129836,-165.40285692318866,53469.45285692319,-116.08148992030117,-13.064287881357965,69.01792983233273,135.049572159477,135.049572159477,-1.0343831236775538,EPSG:25835,12.5
533071.9306681117,7611908.325619485,53304.05,11469.919078628272,-167.85153935274138,53471.901539352744,-124.35735192519061,-14.761846170424564,77.52205588410412,146.54153038078957,146.54153038078957,-1.0133618200035572,EPSG:25835,12.5
533084.4306681117,7611908.325619485,53304.05,11328.527805422007,-170.5999941308546,53474.64999413086,-132.8031854301001,-16.45874048398803,86.88876929048556,158.7020613892484,158.7020613892484,-0.9914271585249864,EPSG:25835,12.5
533096.9306681117,7611908.325619485,53304.05,11210.017901806383,-173.66095058642532,53477.71095058643,-142.56015787776525,-18.355820444170053,96.47492386055721,172.13602048390007,172.13602048390007,-0.9758582148436755,EPSG:25835,12.5
533109.4306681117,7611908.325619485,53304.05,11089.21092006947,-177.04456795033184,53481.094567950335,-152.3604287203806,-20.189069752347432,106.27907101398995,185.76582348606243,185.76582348606243,-0.9617163127572708,EPSG:25835,12.5
533121.9306681117,7611908.325619485,53304.05,10986.620028809184,-180.75825373479165,53484.808253734795,-163.49764611424018,-22.314225680863974,117.44964102452747,201.31045293696917,201.31045293696917,-0.9478563286023575,EPSG:25835,12.5
533134.4306681117,7611908.325619485,53304.05,10883.033983024794,-184.80635724048625,53488.85635724049,-174.31875772146464,-24.209989758184534,127.76420699778082,216.1266339055103,216.1266339055103,-0.9383069896168601,EPSG:25835,12.5
533146.9306681117,7611908.325619485,53304.05,10790.147523735,-189.19006939348765,53493.24006939349,-186.45616523548654,-26.431446644325103,138.37768278850362,232.1944974546959,232.1944974546959,-0.932340806481259,EPSG:25835,12.5
533159.4306681117,7611908.325619485,53304.05,10701.905983157812,-193.90729444263707,53497.95729444264,-198.73043398804617,-28.400458268174887,151.09323826499642,249.64565296131263,249.64565296131263,-0.920740559761384,EPSG:25835,12.5
533171.9306681117,7611908.325619485,53304.05,10603.40227972723,-198.95253839240468,53503.00253839241,-216.8029974495807,-32.41728069456912,164.30820500319035,272.030744465572,272.030744465572,-0.9222782436860759,EPSG:25835,12.5
533184.4306681117,7611908.325619485,53798.07,10399.20990740204,289.7031260098229,53508.36687399018,-207.82017290916662,-29.692791816198728,176.83276356511854,272.87185735812517,272.87185735812517,-0.8657839658421845,EPSG:25835,12.5
533196.9306681117,7611908.325619485,53798.07,10355.473214223875,284.03192650632263,53514.03807349368,-230.72869479801557,-35.10472826251608,184.07708539966384,295.16114915827075,295.16114915827075,-0.8973936994758716,EPSG:25835,12.5
533209.4306681117,7611908.325619485,53798.07,10289.606240755062,278.0692815179209,53520.00071848208,-246.47935826973426,-37.49694244785724,196.19629829452293,315.03184206923186,315.03184206923186,-0.898502328770132,EPSG:25835,12.5
533221.9306681117,7611908.325619485,53798.07,10248.033643419472,271.83365482048976,53526.23634517951,-262.8671948452629,-40.33625155522632,213.44206457167454,338.6099187183333,338.6099187183333,-0.8887950016779395,EPSG:25835,12.5
533234.4306681117,7611908.325619485,53798.07,10194.234870373535,265.34636252391647,53532.72363747608,-279.32565482138506,-43.158348707026775,227.47028839220715,360.22986209173365,360.22986209173365,-0.8873633248192797,EPSG:25835,12.5
533246.9306681117,7611908.325619485,53798.07,10159.769409833076,258.63129766692873,53539.43870233307,-296.61399800846647,-46.18745272433219,242.8416318495872,383.3430865085961,383.3430865085961,-0.8847489260700059,EPSG:25835,12.5
533259.4306681117,7611908.325619485,53798.07,10117.618136038636,251.7146942462423,53546.35530575376,-314.04490884017616,-49.17618581869301,258.6098040437315,406.8208887409443,406.8208887409443,-0.8819011880747795,EPSG:25835,12.5
533271.9306681117,7611908.325619485,53798.07,10092.123714786296,244.624622511481,53553.44537748852,-332.35866904370346,-52.37896084760937,275.9416112104566,431.97923293362703,431.97923293362703,-0.8778790126526702,EPSG:25835,12.5
533284.4306681117,7611908.325619485,53798.07,10060.248282592716,237.39082937988132,53560.67917062012,-350.83185101326774,-55.54463944024335,292.1303762103379,456.5338370703635,456.5338370703635,-0.8764442355698298,EPSG:25835,12.5
533296.9306681117,7611908.325619485,53798.07,10043.388288179141,230.04430827948818,53568.02569172051,-370.1417579172892,-58.91680577896863,310.2397839506936,482.9633987165841,482.9633987165841,-0.8732134735930254,EPSG:25835,12.5
533309.4306681117,7611908.325619485,53798.07,10021.41268603285,222.61698496397003,53575.45301503603,-389.5571510598284,-62.23894399651044,327.6982406121402,509.0588481130075,509.0588481130075,-0.8714291962682356,EPSG:25835,12.5
533321.9306681117,7611908.325619485,53798.07,10012.375919687414,215.14103745479224,53582.92896254521,-409.63211547470513,-65.70281072915475,346.04987794527085,536.2359443884931,536.2359443884931,-0.8693393342295993,EPSG:25835,12.5
533334.4306681117,7611908.325619485,53798.07,9999.303931490778,207.64892923369916,53590.4210707663,-429.9881053910893,-69.19708568398534,364.3346297293548,563.5862783974114,563.5862783974114,-0.8678641143860111,EPSG:25835,12.5
533346.9306681117,7611908.325619485,53798.07,9998.163383997584,200.17271445334336,53597.897285546656,-451.02039739314955,-72.82770867869056,383.58990077241594,592.0815913700294,592.0815913700294,-0.8660158501794382,EPSG:25835,12.5
533359.4306681117,7611908.325619485,53798.07,9993.182801507352,192.74360160162178,53605.32639839838,-472.37423685916673,-76.50125428362871,402.4886138078655,620.5920591606513,620.5920591606513,-0.8651107039771058,EPSG:25835,12.5
533371.9306681117,7611908.325619485,53814.89,9994.718603298481,202.21203801809315,53612.677961981906,-493.5284693199505,-80.12255552001855,422.65808833318596,649.7770461187102,649.7770461187102,-0.8625980880802863,EPSG:25835,12.5
533384.4306681117,7611908.325619485,53827.71,9995.865451415464,207.78712326369714,53619.9228767363,-515.2793558331697,-83.87135445857656,441.8844444985337,678.8038574121571,678.8038574121571,-0.8619279784449578,EPSG:25835,12.5
533396.9306681117,7611908.325619485,53833.1,10008.281240515511,206.06616768033564,53627.03383231966,-537.8743604140313,-87.77865064639253,462.21390190749463,709.1900441400417,709.1900441400417,-0.8609081034982418,EPSG:25835,12.5
533409.4306681117,7611908.325619485,53838.88,10019.550557403101,204.8945533274673,53633.98544667253,-560.3608107923397,-91.58352692569065,482.49305029272494,739.46181906345,739.46181906345,-0.8599278107943372,EPSG:25835,12.5
533421.9306681117,7611908.325619485,53838.18,10040.647210580257,197.42560487637093,53640.75439512363,-583.856518088087,-95.67371972830637,503.61277918275744,771.0475115517366,771.0475115517366,-0.8590541037380506,EPSG:25835,12.5
533434.4306681117,7611908.325619485,53838.07,10063.285134422715,190.7503225287728,53647.31967747123,-606.7632488288916,-99.4869376939164,524.7349054902472,802.1897289103434,802.1897289103434,-0.8577669007708395,EPSG:25835,12.5
533446.9306681117,7611908.325619485,53775.46,10106.356145441572,121.79735628270282,53653.662643717296,-633.4557031278931,-104.1525928233483,545.7347247348798,836.1175261927647,836.1175261927647,-0.8596522410929796,EPSG:25835,12.5
533459.4306681117,7611908.325619485,53775.46,10131.140392886757,115.69276267505484,53659.767237324944,-656.9430469273901,-108.10185890093568,567.8985269001367,868.3794699102394,868.3794699102394,-0.8579693001754974,EPSG:25835,12.5
533471.9306681117,7611908.325619485,53775.46,10166.516992076911,109.84008950716088,53665.61991049284,-681.0678003028756,-112.16735493865674,591.1117514335693,901.8128693316921,901.8128693316921,-0.8559908499925962,EPSG:25835,12.5
533484.4306681117,7611908.325619485,53775.46,10199.065272374279,104.25029360142071,53671.20970639858,-705.7026487530471,-116.39972976112013,613.3685353235596,935.0065179355893,935.0065179355893,-0.8552835091036115,EPSG:25835,12.5
533496.9306681117,7611908.325619485,53775.46,10239.931357113657,98.9317616842236,53676.528238315776,-730.7960325355953,-120.69397913370942,635.8032187792929,968.6632924705448,968.6632924705448,-0.8547969016840459,EPSG:25835,12.5
533509.4306681117,7611908.325619485,53775.46,10280.81115842175,93.89038918801089,53681.56961081199,-755.9057749349234,-124.97885749810999,658.6441331877866,1002.599438840187,1002.599438840187,-0.854048128332636,EPSG:25835,12.5
533521.9306681117,7611908.325619485,53747.33,10335.59392683714,60.99964735076355,53686.33035264924,-782.6890706502745,-129.57406505421454,681.9432977509783,1038.0986671135215,1038.0986671135215,-0.8540756913847855,EPSG:25835,12.5
533534.4306681117,7611908.325619485,53727.66,10385.68772787182,36.85069160860439,53690.8093083914,-809.0889291580426,-134.05462454999522,705.372995993881,1073.394596019326,1073.394596019326,-0.8537750853235887,EPSG:25835,12.5
533546.9306681117,7611908.325619485,53721.79,10438.066644380684,26.782514400983928,53695.00748559902,-835.6936884885813,-138.63447312156234,729.0511173182557,1109.0083284820935,1109.0083284820935,-0.8534462665475844,EPSG:25835,12.5
533559.4306681117,7611908.325619485,53753.33,10482.379913426612,54.40209709031478,53698.92790290969,-860.7690166106756,-142.90927940677568,753.1165367143627,1143.7254119016266,1143.7254119016266,-0.8520034075935936,EPSG:25835,12.5
533571.9306681117,7611908.325619485,53753.33,10542.525293093915,50.754584500798956,53702.5754154992,-887.721331642919,-147.5377705912986,776.7467094006531,1179.5696728971207,1179.5696728971207,-0.8519723600554449,EPSG:25835,12.5
533584.4306681117,7611908.325619485,53753.33,10600.233737493663,47.3734536161719,53705.95654638383,-914.6097943901445,-152.11585553564893,800.9586417450773,1215.7490784617119,1215.7490784617119,-0.8515484422514407,EPSG:25835,12.5
533596.9306681117,7611908.325619485,53756.39,10665.120784806579,47.310664126132906,53709.07933587387,-941.9242562494615,-156.84010771617645,826.1014504219289,1252.8626863708232,1252.8626863708232,-0.8508143762191969,EPSG:25835,12.5
533609.4306681117,7611908.325619485,53756.39,10729.533822971112,44.43699480477517,53711.953005195224,-969.1862081380103,-161.46806151552516,849.9553370582086,1289.0872666498058,1289.0872666498058,-0.8508469347093731,EPSG:25835,12.5
533621.9306681117,7611908.325619485,53756.39,10801.362665634373,41.802141187057714,53714.58785881294,-996.7285535666168,-166.1889348605075,875.9530917171268,1326.9369345917662,1326.9369345917662,-0.8498022910903134,EPSG:25835,12.5
533634.4306681117,7611908.325619485,53743.03,10874.793502651231,26.034923920604342,53716.995076079394,-1024.8279055233063,-170.9951905078546,899.8932211556074,1363.8475154580522,1363.8475154580522,-0.8502177672387724,EPSG:25835,12.5
533646.9306681117,7611908.325619485,53743.03,10950.700493346432,23.8434783236371,53719.18652167636,-1052.1978411974555,-175.57366567465263,925.3984400242916,1401.2432229345404,1401.2432229345404,-0.8494284549311237,EPSG:25835,12.5
533659.4306681117,7611908.325619485,53725.32,11031.701356047708,4.145433184028661,53721.17456681597,-1081.1970966904598,-180.65666610605206,951.1239890258875,1440.0083348343494,1440.0083348343494,-0.8493132298804393,EPSG:25835,12.5
533671.9306681117,7611908.325619485,53725.32,11111.779707464391,2.3480918532586657,53722.97190814674,-1108.9480206230785,-185.31295982543227,975.755891417088,1477.113831794625,1477.113831794625,-0.8492016334503086,EPSG:25835,12.5
533684.4306681117,7611908.325619485,53725.32,11193.896989960796,0.728561203352001,53724.59143879665,-1136.8315220944019,-190.08318270735515,1001.2049838691554,1514.858847996047,1514.858847996047,-0.8487483704411263,EPSG:25835,12.5
533696.9306681117,7611908.325619485,53720.32,11280.435708416979,-5.7260771689907415,53726.04607716899,-1165.0483992902161,-194.88856221877427,1026.13187171877,1552.5090630478655,1552.5090630478655,-0.8487114656902125,EPSG:25835,12.5
533709.4306681117,7611908.325619485,53720.32,11366.855683416943,-7.028605828490981,53727.34860582849,-1192.8693619418711,-199.65168822296084,1051.3887480338446,1590.0803797770043,1590.0803797770043,-0.8483560003196163,EPSG:25835,12.5
533721.9306681117,7611908.325619485,53720.32,11455.185763318394,-8.191567498965014,53728.511567498965,-1220.3290515230672,-204.20753520294696,1074.8918513374788,1626.221229126868,1626.221229126868,-0.8486787900056894,EPSG:25835,12.5
533734.4306681117,7611908.325619485,53725.31,11544.358284184404,-4.237173216730298,53729.54717321673,-1248.0865629424195,-209.01209531264527,1100.8176451857555,1664.1873562041426,1664.1873562041426,-0.8480130647690519,EPSG:25835,12.5
533746.9306681117,7611908.325619485,53725.31,11638.02539750155,-5.157216204919678,53730.46721620492,-1276.1244519382446,-213.76008782418927,1125.59695727581,1701.605749597493,1701.605749597493,-0.8479911268777461,EPSG:25835,12.5
533759.4306681117,7611908.325619485,53725.31,11732.456006878736,-5.972981173370499,53731.28298117337,-1304.3429773590397,-218.6576628766846,1150.8984900984744,1739.505083952557,1739.505083952557,-0.8478136853574019,EPSG:25835,12.5
533771.9306681117,7611908.325619485,53742.15,11825.330943916757,10.144821429472358,53732.00517857053,-1331.2388544552323,-223.12455106008034,1174.8016899572096,1775.4875100483232,1775.4875100483232,-0.8477413043515902,EPSG:25835,12.5
533784.4306681117,7611908.325619485,53742.15,11925.282244449534,9.506016983053996,53732.64398301695,-1359.3009645930822,-227.96963765961155,1200.8077781115733,1813.7360426249836,1813.7360426249836,-0.8472280235166048,EPSG:25835,12.5
